Area ID;Timber type;tree species;quantity (in cm)
103;IS;GKI;40
103;IS;GKI;40
105;IS;ELA;20
105;IS;GFI;70
105;IS;ELA;20
105;IS;GFI;70
108;LAS;GDG;30
108;LAS;GKI;40
108;IS;GDG;20
108;IS;GKI;40
108;IS;GDG;20
108;IS;GKI;40
108;LAS;GDG;30
108;LAS;GKI;40
108;L;GKI;20
108;IS;RBU;10
108;IS;GKI;10
108;IS;GKI;10
108;IS;RBU;10
108;L;GKI;20
108;IS;GKI;10
108;IS;RBU;10
108;L;GKI;20
108;LAS;RBU;60
108;IS;RBU;120
108;BR;RBU;20
108;BR;RBU;20
108;IS;RBU;120
108;LAS;RBU;60
108;L;RBU;10
108;LAS;RBU;30
108;IS;RBU;120
108;IS;RBU;120
108;L;RBU;10
108;LAS;RBU;30
108;LAS;GDG;20
108;LAS;GFI;10
108;IS;GDG;10
108;IS;GFI;10
108;IS;GDG;10
108;IS;GFI;10
108;LAS;GDG;20
108;LAS;GFI;10
109;LAS;RBU;25
109;LAS;ELA;10
109;LAS;GFI;20
109;IS;RBU;60
109;IS;TEI;25
109;IS;ELA;10
109;IS;GFI;15
109;IS;ELA;10
109;IS;GFI;15
109;IS;RBU;60
109;IS;TEI;25
109;LAS;ELA;10
109;LAS;GFI;20
109;LAS;RBU;25
109;LAS;ELA;20
109;LAS;GDG;50
109;IS;ELA;10
109;IS;GDG;30
109;IS;ELA;10
109;IS;GDG;30
109;LAS;ELA;20
109;LAS;GDG;50
109;LAK;ELA;70
109;IS;ELA;60
109;IS;GKI;40
109;IS;ELA;60
109;IS;GKI;40
109;LAK;ELA;70
109;L;GKI;50
109;LAS;GKI;30
109;LAS;GKI;30
109;IS;RBU;10
109;IS;RBU;10
109;IS;GKI;30
109;IS;GKI;25
109;IS;GKI;30
109;IS;GKI;25
109;IS;RBU;10
109;IS;RBU;10
109;L;GKI;50
109;LAS;GKI;30
109;LAS;GKI;30
109;L;GKI;15
109;LAS;GKI;30
109;IS;RBU;15
109;IS;GKI;30
109;IS;GKI;30
109;IS;RBU;15
109;L;GKI;15
109;LAS;GKI;30
109;LAS;RBU;15
109;IS;RBU;25
109;IS;RBU;25
109;LAS;RBU;15
109;L;RBU;20
109;L;GKI;25
109;IS;RBU;20
109;IS;GKI;20
109;IS;GKI;20
109;IS;RBU;20
109;L;GKI;25
109;L;RBU;20
110;L;GKI;20
110;LAS;GKI;40
110;IS;GKI;30
110;IS;GKI;30
110;L;GKI;20
110;LAS;GKI;40
110;L;GKI;55
110;IS;GDG;20
110;IS;GKI;25
110;IS;GDG;20
110;IS;GKI;25
110;L;GKI;55
110;LAS;GKI;40
110;IS;RBU;20
110;IS;GKI;20
110;IS;GKI;20
110;IS;RBU;20
110;LAS;GKI;40
110;L;GKI;50
110;IS;RBU;10
110;IS;GKI;30
110;IS;GKI;30
110;IS;RBU;10
110;L;GKI;50
110;L;GKI;30
110;IS;GKI;20
110;IS;GKI;20
110;L;GKI;30
110;IS;GKI;70
110;IS;GKI;70
110;L;GKI;40
110;IS;RBU;20
110;IS;GKI;20
110;IS;GKI;20
110;IS;RBU;20
110;L;GKI;40
113;HSR;GKI;500
113;IS;GKI;240
113;IS;GKI;240
134;IS;REI;40
134;IS;REI;40
134;IS;TEI;120
134;IS;TEI;120
74;L;RBU;30
74;LAS;RBU;20
74;IS;RBU;100
74;BR;RBU;20
74;BR;RBU;20
74;IS;RBU;100
74;L;RBU;30
74;LAS;RBU;20
74;IS;GKI;40
74;IS;GKI;40
74;LAS;GDG;5
74;LAS;GKI;15
74;IS;GKI;20
74;IS;GKI;20
74;LAS;GDG;5
74;LAS;GKI;15
74;L;RBU;20
74;LAS;RBU;15
74;IS;RBU;30
74;BR;RBU;10
74;BR;RBU;10
74;IS;RBU;30
74;L;RBU;20
74;LAS;RBU;15
74;LAS;ELA;20
74;LAS;GFI;10
74;IS;ELA;15
74;IS;GFI;10
74;IS;ELA;15
74;IS;GFI;10
74;LAS;ELA;20
74;LAS;GFI;10
74;L;RBU;10
74;LAS;RBU;30
74;IS;RBU;50
74;BR;RBU;20
74;BR;RBU;20
74;IS;RBU;50
74;L;RBU;10
74;LAS;RBU;30
75;IS;GKI;50
75;IS;GKI;50
75;LAS;GKI;20
75;IS;GKI;25
75;IS;GKI;25
75;LAS;GKI;20
75;IS;GKI;25
75;IS;GKI;25
75;LAS;GKI;10
75;IS;GKI;10
75;IS;GKI;10
75;LAS;GKI;10
75;LAS;GKI;30
75;IS;GKI;30
75;IS;GKI;30
75;LAS;GKI;30
75;LAS;GKI;20
75;LAK;GKI;20
75;IS;GKI;20
75;IS;GKI;20
75;LAK;GKI;20
75;LAS;GKI;20
75;LAS;RBU;40
75;IS;RBU;50
75;BR;RBU;20
75;BR;RBU;20
75;IS;RBU;50
75;LAS;RBU;40
75;LAK;GKI;10
75;IS;GKI;30
75;IS;GKI;30
75;LAK;GKI;10
75;L;RBU;15
75;IS;RBU;35
75;IS;GKI;10
75;BR;RBU;10
75;BR;RBU;10
75;IS;GKI;10
75;IS;RBU;35
75;L;RBU;15
75;LAK;GKI;100
75;IS;GKI;180
75;BR;RBU;15
75;BR;RBU;15
75;IS;GKI;180
75;LAK;GKI;100
76;LAS;GKI;80
76;IS;RBU;40
76;IS;GKI;50
76;IS;GKI;50
76;IS;RBU;40
76;LAS;GKI;80
76;L;GKI;60
76;LAS;GDG;15
76;LAS;GKI;40
76;IS;RBU;90
76;IS;GKI;50
76;IS;GKI;50
76;IS;RBU;90
76;L;GKI;60
76;LAS;GDG;15
76;LAS;GKI;40
76;IS;GKI;235
76;BR;EI;10
76;BR;EI;10
76;IS;GKI;235
76;IS;GBI;20
76;IS;GBI;20
76;LAS;GKI;120
76;IS;RBU;150
76;IS;GKI;90
76;IS;GKI;90
76;IS;RBU;150
76;LAS;GKI;120
77;LAS;GDG;60
77;LAK;KTA;100
77;IS;GBI;30
77;IS;RBU;30
77;IS;GDG;50
77;IS;GBI;30
77;IS;KTA;50
77;IS;RBU;30
77;LAK;KTA;100
77;LAS;GDG;60
77;L;REI;15
77;LAS;GFI;15
77;IS;RBU;40
77;IS;GFI;5
77;BR;REI;10
77;BR;REI;10
77;IS;GFI;5
77;IS;RBU;40
77;L;REI;15
77;LAS;GFI;15
77;LAS;GDG;25
77;IS;GDG;20
77;IS;GDG;20
77;LAS;GDG;25
78;LAK;GKI;20
78;IS;GKI;20
78;IS;GKI;20
78;LAK;GKI;20
79;LAS;GKI;90
79;IS;GKI;50
79;IS;GKI;50
79;LAS;GKI;90
79;LAS;GKI;120
79;IS;GKI;100
79;IS;GKI;100
79;LAS;GKI;120
79;LAK;GKI;50
79;IS;GKI;50
79;IS;GKI;50
79;LAK;GKI;50
79;LAS;GKI;120
79;IS;RBU;150
79;IS;GKI;60
79;IS;GKI;60
79;IS;RBU;150
79;LAS;GKI;120
79;LAS;GKI;10
79;IS;GKI;20
79;IS;GKI;20
79;LAS;GKI;10
79;L;RBU;20
79;IS;RBU;20
79;BR;RBU;15
79;BR;RBU;15
79;IS;RBU;20
79;L;RBU;20
79;L;RBU;10
79;IS;RBU;30
79;IS;RBU;30
79;L;RBU;10
79;L;RBU;40
79;IS;RBU;30
79;BR;RBU;15
79;BR;RBU;15
79;IS;RBU;30
79;L;RBU;40
79;LAS;GKI;40
79;IS;GKI;40
79;IS;GKI;40
79;LAS;GKI;40
81;L;GKI;60
